bandwidth,outcome,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high
0.1,nrega_sanit_post,2131,(Intercept),0.01810351226062243,0.0017560731739276003,10.309087644754833,2.3726013768512196e-24,0.014659713339243673,0.021547311182001185
0.1,nrega_sanit_post,2131,femalereservation,-6.357212508126477e-4,0.0032805570193132263,-0.1937845454506789,0.846363083685785,-0.007069154032753303,0.005797711531128007
0.1,nrega_sanit_post,2131,runningvar2_norm_std,0.03560180817624438,0.03924071277541098,0.9072671126033467,0.3643682854312441,-0.041352345179363675,0.11255596153185243
0.1,nrega_water_post,83,(Intercept),0.020812470242485802,0.005726198591535087,3.6346050367956884,4.905179622864716e-4,0.009416971882633098,0.0322079686023385
0.1,nrega_water_post,83,femalereservation,-0.012792846623838255,0.010894122426420454,-1.1742888617455787,0.24376313625321727,-0.03447284117132533,0.008887147923648819
0.1,nrega_water_post,83,runningvar2_norm_std,-0.013041011133032677,0.13980961135405637,-0.09327692857973395,0.9259167685882224,-0.29127100462854055,0.2651889823624752
0.1,nrega_total_post,6852,(Intercept),0.9896665413657376,0.01976140842911613,50.08076954209293,0,0.9509280466614074,1.0284050360700678
0.1,nrega_total_post,6852,femalereservation,-0.048873406007685014,0.03695685021737189,-1.3224451142405973,0.18606413223906929,-0.12132030429277964,0.02357349227740961
0.1,nrega_total_post,6852,runningvar2_norm_std,-0.5013122781337451,0.44139104652226147,-1.1357554306631399,0.2560986757120336,-1.3665757425054594,0.3639511862379693
0.1,nrega_sanit_2016,1030,(Intercept),0.010650225486501325,0.0015710908172033523,6.778873232458608,2.0390214171796842e-11,0.007567310791636421,0.013733140181366229
0.1,nrega_sanit_2016,1030,femalereservation,0.001287766885925197,0.0029318202787103113,0.4392380035285373,0.6605814899854157,-0.004465275344967711,0.007040809116818105
0.1,nrega_sanit_2016,1030,runningvar2_norm_std,-0.0032950206132613276,0.03613992859664485,-0.0911739657827445,0.9273721404849002,-0.07421155562318095,0.0676215143966583
0.1,nrega_sanit_2017,1440,(Intercept),0.009068300710913675,0.0014670943217854236,6.181129990250211,8.275031963875953e-10,0.006190424719295179,0.01194617670253217
0.1,nrega_sanit_2017,1440,femalereservation,-8.0603030150165e-4,0.002782510812680436,-0.2896773294926349,0.7721048913030488,-0.006264248594165113,0.004652187991161813
0.1,nrega_sanit_2017,1440,runningvar2_norm_std,0.042911794512680686,0.033215665178630185,1.2919143507109005,0.19659454003206248,-0.022244592465142606,0.10806818149050398
0.1,nrega_sanit_2018,1641,(Intercept),0.008754394662085985,0.0013207532822687097,6.6283345872502535,4.594401265988849e-11,0.006163851594842989,0.011344937729328982
0.1,nrega_sanit_2018,1641,femalereservation,-0.0010047724315315062,0.0024468367594044855,-0.41064138327562527,0.6813892235131723,-0.005804030619148868,0.0037944857560858565
0.1,nrega_sanit_2018,1641,runningvar2_norm_std,0.010537703964962638,0.029208454848748313,0.3607758102758461,0.7183135675723539,-0.04675214814377564,0.06782755607370092
0.075,nrega_sanit_post,1628,(Intercept),0.018555739378125224,0.0019939624687913293,9.305962207690433,4.152701982140589e-20,0.014644731715792773,0.022466747040457674
0.075,nrega_sanit_post,1628,femalereservation,-0.0014731298814425026,0.0037327184403890185,-0.3946533618777245,0.6931505166068849,-0.008794576824493697,0.005848317061608692
0.075,nrega_sanit_post,1628,runningvar2_norm_std,0.057281927669723585,0.059038440495314974,0.9702479806232216,0.3320672895297304,-0.058517540356020546,0.1730813956954677
0.075,nrega_water_post,58,(Intercept),0.020555942683092368,0.006986530149990254,2.9422248586619273,0.004762321785262062,0.006554623382712068,0.03455726198347267
0.075,nrega_water_post,58,femalereservation,-0.010856765486394854,0.01373582014186156,-0.7903980522653729,0.43269023211163304,-0.03838396418589048,0.01667043321310078
0.075,nrega_water_post,58,runningvar2_norm_std,-0.08976924303250208,0.24601340451373813,-0.3648957389534809,0.716588630540383,-0.5827911229674613,0.40325263690245716
0.075,nrega_total_post,5192,(Intercept),0.9976500347669293,0.021850226424626584,45.65856734749964,0,0.9548143862939471,1.0404856832399114
0.075,nrega_total_post,5192,femalereservation,-0.06711350486187503,0.041133042449508044,-1.6316202465270768,0.10282019249372093,-0.14775159587065004,0.01352458614689997
0.075,nrega_total_post,5192,runningvar2_norm_std,-0.2083618811724723,0.6464812694835912,-0.32230149736420305,0.7472372829745788,-1.475737507667364,1.0590137453224193
0.075,nrega_sanit_2016,792,(Intercept),0.010701831842228464,0.0017232285500294107,6.210338055300798,8.545256608506597e-10,0.007319176926611287,0.01408448675784564
0.075,nrega_sanit_2016,792,femalereservation,5.924498170486514e-4,0.0032215160635715853,0.18390403938939928,0.8541359883954732,-0.005731306337057626,0.006916205971154928
0.075,nrega_sanit_2016,792,runningvar2_norm_std,-6.471987990600317e-4,0.05253700377943822,-0.012318913384880363,0.9901742919512155,-0.10377603454361743,0.10248163694549738
0.075,nrega_sanit_2017,1097,(Intercept),0.00982793312703556,0.0017053715024576183,5.7629279678196115,1.074104978053123e-8,0.00648176438438793,0.01317410186968319
0.075,nrega_sanit_2017,1097,femalereservation,-0.0016769176182004249,0.0032490535588543413,-0.5161249538747917,0.6058714384692592,-0.008051998617360386,0.0046981633809595365
0.075,nrega_sanit_2017,1097,runningvar2_norm_std,0.07552954592262572,0.05089611166610938,1.483994424134353,0.13809844216219255,-0.02433548508909722,0.17539457693434865
0.075,nrega_sanit_2018,1261,(Intercept),0.008602731573764427,0.0014849858935357583,5.7931402656501225,8.720215264216326e-9,0.005689409745039131,0.011516053402489724
0.075,nrega_sanit_2018,1261,femalereservation,-0.0010147011250631307,0.002757895330912643,-0.36792590120791335,0.7129903812042866,-0.00642528226516869,0.004395880015042429
0.075,nrega_sanit_2018,1261,runningvar2_norm_std,0.01229467363043488,0.043338389418665586,0.2836901369744866,0.7766945347119323,-0.07272881141734112,0.09731815867821088
0.05,nrega_sanit_post,1098,(Intercept),0.018477595936101564,0.0023052700423941887,8.015371560075994,2.797968110987447e-15,0.013954349977149325,0.023000841895053803
0.05,nrega_sanit_post,1098,femalereservation,-0.002240096584546964,0.004318115120374429,-0.5187672218319002,0.6040278972458756,-0.010712811888754415,0.006232618719660488
0.05,nrega_sanit_post,1098,runningvar2_norm_std,0.056701042134183414,0.10162494073099308,0.5579441594389143,0.5769965659664062,-0.14270058719199316,0.25610267146036
0.05,nrega_water_post,43,(Intercept),0.020190367609807008,0.007907525989898934,2.5533103066114693,0.01458825267868516,0.0042086614334150285,0.03617207378619899
0.05,nrega_water_post,43,femalereservation,-0.010734569910801855,0.015714763260383128,-0.6830882357524071,0.49848872300073377,-0.04249529120085136,0.021026151379247647
0.05,nrega_water_post,43,runningvar2_norm_std,-0.1661490086257278,0.39874611851464975,-0.4166786857879434,0.6791410719350677,-0.9720449757358347,0.6397469584843791
0.05,nrega_total_post,3504,(Intercept),1.0033608806117102,0.025613247026585274,39.173513595143625,1.1497214300825235e-278,0.9531424775232377,1.053579283700183
0.05,nrega_total_post,3504,femalereservation,-0.0755644849404918,0.04848569008576746,-1.5584904495908798,0.11920741562039659,-0.17062755625755494,0.019498586376571356
0.05,nrega_total_post,3504,runningvar2_norm_std,0.06447478115018498,1.1196702008629582,0.05758372519023248,0.9540834997451977,-2.130797431495296,2.2597469937956665
0.05,nrega_sanit_2016,554,(Intercept),0.01029135402385733,0.0018360266070546192,5.605231418931815,3.290944708853482e-8,0.00668488608717346,0.0138978219605412
0.05,nrega_sanit_2016,554,femalereservation,0.0010056077274050374,0.00343546292573433,0.2927138930454587,0.7698510450451196,-0.005742598884482281,0.007753814339292356
0.05,nrega_sanit_2016,554,runningvar2_norm_std,-0.03388455681743091,0.08292726361491717,-0.4086057508755862,0.682987762122222,-0.1967768134737271,0.1290076998388653
0.05,nrega_sanit_2017,749,(Intercept),0.010523732441162432,0.001984954341248079,5.301750384114845,1.5123567609251038e-7,0.0066269712105073595,0.014420493671817504
0.05,nrega_sanit_2017,749,femalereservation,-0.0033826464969231498,0.0037968347067919546,-0.8909122356240882,0.37326349447340335,-0.01083639894713298,0.004071105953286681
0.05,nrega_sanit_2017,749,runningvar2_norm_std,0.12880254133936786,0.08722098514065589,1.4767379791876458,0.14016788226288712,-0.0424252528384792,0.3000303355172149
0.05,nrega_sanit_2018,844,(Intercept),0.008149686251818505,0.0018006594844444056,4.525945256292083,6.878657681387385e-6,0.004615372066282757,0.011684000437354253
0.05,nrega_sanit_2018,844,femalereservation,-8.623950733180267e-4,0.003346973013902066,-0.25766418484283027,0.796729122601553,-0.007431796064360669,0.005707005917724616
0.05,nrega_sanit_2018,844,runningvar2_norm_std,-0.002363751052785304,0.07775762805262151,-0.030398960359048825,0.9757560863670884,-0.15498554891857586,0.15025804681300525
