assumption,outcome,period,panchayats,observed,available,missing,with_assumed_zero,complete_period,mean,sd
absent_category_zero,nrega_sanit,pre,9203,2631,8446,757,8176,7821,0.024117579628753563,0.07944594605519308
absent_category_zero,nrega_water,pre,9203,83,8446,757,8445,7821,1.0975357373707536e-4,0.0026188842524450568
absent_category_zero,nrega_total,pre,9203,8446,8446,757,0,7821,0.7236414512485907,0.7151141815950852
absent_category_zero,nrega_sanit,post,9203,2643,8688,515,8050,8636,0.00509256763357094,0.028577947615704962
absent_category_zero,nrega_water,post,9203,107,8688,515,8656,8636,1.7399617915150127e-4,0.0036120105392664897
absent_category_zero,nrega_total,post,9203,8688,8688,515,0,8636,0.9584108203230215,1.0823048096020937
recorded_only,nrega_sanit,pre,9203,2631,2631,6572,0,247,0.07742192228979512,0.12703703825004245
recorded_only,nrega_water,pre,9203,83,83,9120,0,1,0.011168417876907717,0.02411085895307876
recorded_only,nrega_total,pre,9203,8446,8446,757,0,7821,0.7236414512485907,0.7151141815950852
recorded_only,nrega_sanit,post,9203,2643,2643,6560,0,637,0.016740154218866463,0.04990273098280612
recorded_only,nrega_water,post,9203,107,107,9096,0,32,0.014127839294096537,0.029499322064758048
recorded_only,nrega_total,post,9203,8688,8688,515,0,8636,0.9584108203230215,1.0823048096020937
