elex_samiti_name,mnrega_block_name
parabatsar,parbatsar
pawta,
peepalakhunt,peepalkhoont
peeplu,
peeprali,piprali
peesangan,peesangan
phalasiya,
phalaudi,phalodi
pidawa,pirawa
pilani,
pilibangan,
pindwara,pindwara
pipad shahar,
poogal,
pratapgarh,pratapgarh
railmagra,railmagra
raini,raini
raipur,raipur
raisinghnagar,raisinghnagar
rajakheda,rajakhera
rajgarh,rajgarh
rajsamand,rajsamand
ramgarh,ramgarh
ramgarh pachwara,
ramsar,
rani,
raniwara,raniwara
rashmi,rashmi
ratangarh,ratangarh
rawatsar,
reodar,reodar
rishabhdev,
riyan,riyan
rohat,rohat
rupwas,rupbas
saabla,
sadulshahar,sadulshahar
sagwara,sagwara
sahada,sahara
saipau,
sajjangarh,sajjangarh
salumbar,salumbar
sam,sam
sambhar,
samdadi,
sanchor,sanchore
sanganer,sanganer
sangod,sangod
sangria,
sankra,sankra
sapotara,sapotra
sarada,sarada
saramathura,
sardarshahar,sardar shahar
sarnau,
sarwad,
sawai madhopur,sawai madhopur
sawar,
sayala,sayla
sayra,
sedwa,
seemalwara,simalwara
sekhala,
semaari,
sewar,sewar
shahbad,
shahpura,shahpura
sheo,sheo
shergarh,shergarh
shivganj,sheoganj
shreenagar,srinagar
shri mahaveer ji,
shrimadhopur,srimadhopur
sikandara,
sikrai,sikrai
silora,
sindhari,sindhari
singhana,
sirohi,sirohi
siwana,siwana
sojat,sojat
srivijaynagr,
suhagpura,
sujangarh,sujangarh
sultanpur,sultanpur
sumerpur,sumerpur
surajgarh,surajgarh
suratgarh,suratgarh
suwana,suwana
taleda,talera
talwaraa,
taranagar,taranagar
thanagaji,thanagazi
tibbi,
tijara,tijara
tinvari,
todabhim,todabhim
todaraisingh,todaraisingh
tonk,tonk
tunga,
uchain,
udaipurwati,udaipurwati
umarain,umren
uniara,uniara
vallabhnagar,
viratnagar,viratnagar
wair,weir
