elex_samiti_name,mnrega_block_name
aadel,
aahor,ahore
aau,
aburoad,aburoad
ajeetgarh,
ajmer rural,
aklera,
alsisar,alsisar
amer,amber
amet,amet
anandpuri,anandpuri
andhi,
anta,
anupgarh,anupgarh
arai,arai
arethuna,
arnod,arnod
asind,asind
aspur,aspur
atru,
badgaon,bargaon
badisadri,barisadri
badnor,
bageedaura,bagidora
bagoda,
bahrod,behror
baijupada,
baitu,baytoo
bajju khalsa,
bakani,bakani
balesar,balesar
bali,bali
balotara,balotra
bamanwas,bamanwas
bandikui,bandikui
baneda,banera
bansur,bansur
banswara,
bap,bap
bapini,
baran,
bari,bari
barmer,barmer
barmer rural,
basedi,baseri
bassi,bassi
baswa,
bavari,
bayana,bayana
begun,begun
bhadesar,bhadesar
bhadra,bhadra
bhaisrodgarh,bhainsrorgarh
bhaniyana,
bhawanimandi,
bherunda,
bhim,bhim
bhinay,bhinay
bhindar,bhindar
bhinmal,bhinmal
bhopalgarh,bhopalgarh
bhupalsagar,bhopalsagar
bhusawar,
bichhiwara,bichhiwara
bidasar,
bijoliya,
bikaner,bikaner
bilada,bilara
bonli,bonli
buhana,buhana
bundi,
chaksu,chaksu
chamu,
chauhtan,chohtan
chauth ka barwara,
chhabara,
chhipabaraud,
chhitorgarh,chhitorgarh
chikhli,
chirawa,chirawa
chitalwana,
choti sadri,chhotisadri
choti sarvan,
churu,churu
dalot,
dataramgarh,danta ramgarh
dausa,dausa
dechu,
deeg,deeg
degana,degana
delwada,
deovli,deoli
desuri,desuri
devgarh,deogarh
dhamotar,
dhanaau,
dhariyawad,dhariawad
dhaulpur,dholpur
dhawa,
dhod,dhond
dhoreemanna,dhorimanna
didwana,didwana
dovra,
dudu,dudu
dug,dag
dungala,dungla
dungargarh,dungargarh
dungarpur,dungarpur
fagi,phagi
fagliya,
fatehpur,fatehpur
fathegarh,
gadraroad,
gagartalai,
galiyakot,
ganganagar,ganganagar
gangapur city,gangapur
gangrar,gangrar
garhi,garhi
ghantiyali,
gharsana,
ghatol,ghatol
gida,
girwa,girwa
gogunda,gogunda
govindgarh,govindgarh
gudamalani,
hanumangarh,hanumangarh
hindaun,hindaun
hindoli,hindoli
hurda,hurda
itawa,itawa
jaalsu,
jahajpur,jahazpur
jaisalmer,jaisalmer
jaisamand,
jaitaran,jaitaran
jalor,jalore
jamwa ramgarh,jamwa ramgarh
jasawantpura,jaswantpura
jawaja,jawaja
jayal,jayal
jhadol,jhadol
jhallaara,
jhalrapatan,jhalrapatan
jhonthari,
jhotwara,jhotwara
jhunjhunu,jhunjhunu
jobner,
kalyanpur,
kaman,kaman
kapasan,kapasan
karanpur,karanpur
karauli,karauli
kareda,
kathumar,kathumar
kekri,kekri
keru,
keshoraipatan,keshorai patan
khairwara,kherwara
khajuwala,
khamnor,khamnor
khandar,khandar
khandela,khandela
khanpur,khanpur
kherabad,khairabad
khetri,khetri
khinwasar,
khumher,kumher
kishanganj,kishangarh
kishangarh renwal,
kishangarhbas,kishangarh bas
kolayat,kolayat
kotakasim,kotkasim
kotkhawada,
kotputli,kotputli
kotra,kotra
kotri,kotri
kuchaman,kuchamancity
kumbhalgarh,kumbhalgarh
kurabad,
kushalgarh,kushalgarh
ladnu,ladnu
ladpura,ladpura
lakshmangarh,laxmangarh
lalsot,lalsot
lasadia,
lawaan,
lohavat,
luni,luni
lunkaransar,lunkaransar
madhorajpura,
mahawa,mahwa
makrana,makrana
malakheda,
malarna dungar,
malpura,malpura
mandal,mandal
mandalagarh,mandalgarh
mandarayal,
mandawa,mandawar
mandor,mandor
mangrol,
manoharthana,manohar thana
marwar junction,marwar jun
masalpur,
masuda,masuda
mauzamabad,
mavli,mavli
merta,merta
mohangarh,
molasar,
mundavar,mundawa
mundwan,
nachana,
nadauti,nadoti
nadbai,nadbai
nagar,nagar
nagaur,nagaur
nainva.,nainwa
nangal rajawatan,
nava,
nawalgarh,nawalgarh
nayagaon,
nechwa,
neem ka thana,neemkathana
neemrana,neemrana
nimbaheda,nimbahera
niwai,niwai
nohar,nohar
nokha,nokha
osian,osian
paanchu,
paatan,
paatodi,
padampur,padampur
pahari,pali
pali,
palsana,
panyla kla,
