district_2020,ps_2020,gp_2020,reservation_2020,key_2020,sl_no_2015,dist_name_2015,samiti_name_2015,gp_2015,reservation_2015,name_2015,sex_2015,category_2015,dist_name_new_2015,samiti_name_new_2015,key_2015,sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2015,dist_name_new_2010,samiti_name_new_2010,key_2010,dist_05_10,nuke_05_10,gp_new_2010,dist,nuke,dist_2020,nuke_2020
Ajmer,Bhinay,Kaneikalan,SC,AjmerBhinayKaneikalan,32,AJMER,BHINAY,KANEIKALAN,General,SEEM AKUMARI,1,OBC (Woman),AJMER,BHINAY,AJMERBHINAYkaneikalan,48,AJMER,BHINAI,KANAIKALA,GEN,RAJENDRA SINGH,MALE,GEN,kaneikalan,AJMER,BHINAY,NA,AJMERBHINAYkaneikalan,47,AJMER,BHINAY,KANEIKALAN,GEN,Shiv Raj Singh,M,GEN,kaneikalan,AJMER,BHINAY,AJMERBHINAYkaneikalan,0,NA,kaneikalan,0,0,0,0
Ajmer,Bhinay,Lamgara,SC (Woman),AjmerBhinayLamgara,36,AJMER,BHINAY,LAMGARA,General,SATYANARAYAN,0,OBC,AJMER,BHINAY,AJMERBHINAYlamgara,52,AJMER,BHINAI,LAMGARA,SC,BHAIRU LAL CHAMAR,MALE,SC,lamgara,AJMER,BHINAY,NA,AJMERBHINAYlamgara,52,AJMER,BHINAY,LAMGARA,OBCW,Geeta Devi Jat,F,OBCW,lamgara,AJMER,BHINAY,AJMERBHINAYlamgara,0,NA,lamgara,0,0,0,0
Ajmer,Bhinay,Sobari,General (Woman),AjmerBhinaySobari,44,AJMER,BHINAY,SOBARI,General,P ARMESHW AR,0,OBC,AJMER,BHINAY,AJMERBHINAYsobari,64,AJMER,BHINAI,SOBADI,OBC,RAMESH CHANDRA DHABAI,MALE,OBC,sobari,AJMER,BHINAY,NA,AJMERBHINAYsobari,64,AJMER,BHINAY,SOBARI,GENW,Nihali Devi,F,OBCW,sobari,AJMER,BHINAY,AJMERBHINAYsobari,0,NA,sobari,0,0,0,0
Ajmer,Jawaja,Ateetmand,OBC,AjmerJawajaAteetmand,46,AJMER,JAWAJA,A TEETMAND,General,RATAN SINGH,0,OBC,AJMER,JAWAJA,AJMERJAWAJAateetmand,67,AJMER,JAWAJA,ATITMAND,GEN,PRATAP SINGH,MALE,OBC,ateetmand,AJMER,JAWAJA,NA,AJMERJAWAJAateetmand,67,AJMER,JAW AJA,ATEETMAND,GEN,pratap rawat,M,OBC,ateetmand,AJMER,JAWAJA,AJMERJAWAJAateetmand,0,NA,ateetmand,0,0,0,0
Ajmer,Jawaja,Beawarkhas,General,AjmerJawajaBeawarkhas,53,AJMER,JAWAJA,BEAWARKHAS,General,VIJENDRA SINGH,0,OBC,AJMER,JAWAJA,AJMERJAWAJAbeawarkhas,73,AJMER,JAWAJA,BEAWAR KHAS,OBC,NARAYAN GURJAR,MALE,OBC,beawarkhas,AJMER,JAWAJA,NA,AJMERJAWAJAbeawarkhas,74,AJMER,JAW AJA,BEAW ARKHAS,GEN,Umrav,M,GEN,beawarkhas,AJMER,JAWAJA,AJMERJAWAJAbeawarkhas,0,NA,beawarkhas,0,0,0,0
Ajmer,Jawaja,Durgawas,General,AjmerJawajaDurgawas,56,AJMER,JAWAJA,DURGAWAS,General,GANPAT SINGH,0,OBC,AJMER,JAWAJA,AJMERJAWAJAdurgawas,76,AJMER,JAWAJA,DURGAWAS,OBC,BAHADUR,MALE,OBC,durgawas,AJMER,JAWAJA,NA,AJMERJAWAJAdurgawas,77,AJMER,JAW AJA,DURGAWAS,GENW,sneh lata,F,OBCW,durgawas,AJMER,JAWAJA,AJMERJAWAJAdurgawas,0,NA,durgawas,0,0,0,0
Ajmer,Jawaja,Gohana,SC,AjmerJawajaGohana,57,AJMER,JAWAJA,GOHANA,General,SHRAWAN LAL SAIN,0,OBC,AJMER,JAWAJA,AJMERJAWAJAgohana,77,AJMER,JAWAJA,GOHANA,OBC W,MEERA,FEMALE,OBC,gohana,AJMER,JAWAJA,NA,AJMERJAWAJAgohana,78,AJMER,JAW AJA,GOHANA,GENW,meera devi,F,OBCW,gohana,AJMER,JAWAJA,AJMERJAWAJAgohana,0,NA,gohana,0,0,0,0
Ajmer,Jawaja,Jaliya First,General (Woman),AjmerJawajaJaliya First,58,AJMER,JAWAJA,JALIYA FIRST,General,TAJ MOHAMMAD,0,OBC,AJMER,JAWAJA,AJMERJAWAJAjaliya first,78,AJMER,JAWAJA,JALIYA FIRST,GEN W,SHABNAM,FEMALE,OBC,jaliya first,AJMER,JAWAJA,NA,AJMERJAWAJAjaliya first,79,AJMER,JAW AJA,JALIYA FIRST,OBCW,sartaj,F,OBCW,jaliya first,AJMER,JAWAJA,AJMERJAWAJAjaliya first,0,NA,jaliya first,0,0,0,0
Ajmer,Jawaja,Kotra,General,AjmerJawajaKotra,62,AJMER,JAWAJA,KOTRA,General,GEETA DEVI,1,OBC (Woman),AJMER,JAWAJA,AJMERJAWAJAkotra,83,AJMER,JAWAJA,KOTRA,OBC,LADU SINGH,MALE,OBC,kotra,AJMER,JAWAJA,NA,AJMERJAWAJAkotra,83,AJMER,JAW AJA,KOTRA,GEN,Ladu Singh,M,OBC,kotra,AJMER,JAWAJA,AJMERJAWAJAkotra,0,NA,kotra,0,0,0,0
Ajmer,Jawaja,Malpura,General (Woman),AjmerJawajaMalpura,65,AJMER,JAWAJA,MALPURA,General,JASWANT SINGH,0,OBC,AJMER,JAWAJA,AJMERJAWAJAmalpura,86,AJMER,JAWAJA,MALPURA,GEN,MANGLA,MALE,OBC,malpura,AJMER,JAWAJA,NA,AJMERJAWAJAmalpura,86,AJMER,JAW AJA,MALPURA,GEN,Narendar Singh,M,OBC,malpura,AJMER,JAWAJA,AJMERJAWAJAmalpura,0,NA,malpura,0,0,0,0
Ajmer,Jawaja,Nundri Maldev,General (Woman),AjmerJawajaNundri Maldev,68,AJMER,JAWAJA,NUNDRI MALDEV,General,KAANA,0,OBC,AJMER,JAWAJA,AJMERJAWAJAnundri maldev,89,AJMER,JAWAJA,NUNDRI MALDEVI,GEN,KANARAM GURJAR,MALE,OBC,nundri maldev,AJMER,JAWAJA,NA,AJMERJAWAJAnundri maldev,89,AJMER,JAW AJA,NUNDRI MALDEV,SC,Ram lal,M,SC,nundri maldev,AJMER,JAWAJA,AJMERJAWAJAnundri maldev,0,NA,nundri maldev,0,0,0,0
Ajmer,Jawaja,Roopnagar,General,AjmerJawajaRoopnagar,72,AJMER,JAWAJA,ROOPNAGAR,General,NABABUDDIN,0,OBC,AJMER,JAWAJA,AJMERJAWAJAroopnagar,92,AJMER,JAWAJA,ROOP NAGAR,GEN,SAMBHA,MALE,OBC,roopnagar,AJMER,JAWAJA,NA,AJMERJAWAJAroopnagar,93,AJMER,JAW AJA,ROOPNAGAR,GENW,Halimi,F,OBCW,roopnagar,AJMER,JAWAJA,AJMERJAWAJAroopnagar,0,NA,roopnagar,0,0,0,0
Ajmer,Jawaja,Sarmaliya,General (Woman),AjmerJawajaSarmaliya,73,AJMER,JAWAJA,SARMALIYA,General,RAMESH CHAND JAT,0,OBC,AJMER,JAWAJA,AJMERJAWAJAsarmaliya,93,AJMER,JAWAJA,SERMALIYA,GEN,GANESH GURJAR,MALE,OBC,sarmaliya,AJMER,JAWAJA,NA,AJMERJAWAJAsarmaliya,94,AJMER,JAW AJA,SARMALIYA,OBC,Madan Singh,M,OBC,sarmaliya,AJMER,JAWAJA,AJMERJAWAJAsarmaliya,0,NA,sarmaliya,0,0,0,0
Ajmer,Jawaja,Taragarh,General,AjmerJawajaTaragarh,78,AJMER,JAWAJA,T ARAGARH,General,PREM SINGH,0,OBC,AJMER,JAWAJA,AJMERJAWAJAtaragarh,100,AJMER,JAWAJA,TARAGARH,GEN W,GULABI,FEMALE,OBC,taragarh,AJMER,JAWAJA,NA,AJMERJAWAJAtaragarh,99,AJMER,JAW AJA,T ARAGARH,GENW,Priyanka Devi,F,OBCW,taragarh,AJMER,JAWAJA,AJMERJAWAJAtaragarh,0,NA,taragarh,0,0,0,0
Ajmer,Kekri,Baghera,OBC,AjmerKekriBaghera,82,AJMER,KEKRI,BAGHERA,General,SHYOJI RAM GURJAR,0,OBC,AJMER,KEKRI,AJMERKEKRIbaghera,102,AJMER,KEKRI,BAGHERA,SC,AMAR CHAND,MALE,SC,baghera,AJMER,KEKRI,NA,AJMERKEKRIbaghera,102,AJMER,KEKRI,BAGHERA,GENW,SUSHEEL A,F,GENW,baghera,AJMER,KEKRI,AJMERKEKRIbaghera,0,NA,baghera,0,0,0,0
Ajmer,Kekri,Mewdakalan,SC,AjmerKekriMewdakalan,101,AJMER,KEKRI,MEWDAKALAN,General,RAMDHAN JAT,0,OBC,AJMER,KEKRI,AJMERKEKRImewdakalan,121,AJMER,KEKRI,MEVDA KALA,ST W,SHIMLA DEVI,FEMALE,ST,mewdakalan,AJMER,KEKRI,NA,AJMERKEKRImewdakalan,121,AJMER,KEKRI,MEWDAKALAN,GENW,HEMLATA,F,GENW,mewdakalan,AJMER,KEKRI,AJMERKEKRImewdakalan,0,NA,mewdakalan,0,0,0,0
Ajmer,Kekri,Pranheda,SC (Woman),AjmerKekriPranheda,106,AJMER,KEKRI,PRANHEDA,General,NUTAN CHOTIYA,1,General,AJMER,KEKRI,AJMERKEKRIpranheda,124,AJMER,KEKRI,PANEHEDA,GEN W,SAJJAN KANWAR,FEMALE,GEN,pranheda,AJMER,KEKRI,NA,AJMERKEKRIpranheda,126,AJMER,KEKRI,PRANHEDA,GENW,INDRA,F,GENW,pranheda,AJMER,KEKRI,AJMERKEKRIpranheda,0,NA,pranheda,0,0,0,0
Ajmer,Kekri,Salari,OBC (Woman),AjmerKekriSalari,108,AJMER,KEKRI,SALARI,General,RAMESH CHAND,0,OBC,AJMER,KEKRI,AJMERKEKRIsalari,128,AJMER,KEKRI,SALARI,SC,BANSHI,MALE,SC,salari,AJMER,KEKRI,NA,AJMERKEKRIsalari,128,AJMER,KEKRI,SALARI,GENW,SOHANI,F,OBCW,salari,AJMER,KEKRI,AJMERKEKRIsalari,0,NA,salari,0,0,0,0
Ajmer,Kekri,Sarsadi,General (Woman),AjmerKekriSarsadi,109,AJMER,KEKRI,SARSADI,General,ARJUN LAL,0,OBC,AJMER,KEKRI,AJMERKEKRIsarsadi,129,AJMER,KEKRI,SARSADI,GEN,RAMKUVIR,MALE,OBC,sarsadi,AJMER,KEKRI,NA,AJMERKEKRIsarsadi,129,AJMER,KEKRI,SARSADI,ST,BHURALAL,M,ST,sarsadi,AJMER,KEKRI,AJMERKEKRIsarsadi,0,NA,sarsadi,0,0,0,0
Ajmer,Kishangarh,Karkeri,General,AjmerKishangarhKarkeri,121,AJMER,KISHANGARH,KARKERI,General,UGMA RAM JAT,0,OBC,AJMER,KISHANGARH,AJMERKISHANGARHkarkeri,141,AJMER,KISHANGARH,KARKEDI,GEN,LIKHMARAM,MALE,OBC,karkeri,AJMER,KISHANGARH,NA,AJMERKISHANGARHkarkeri,141,AJMER,KISHANGARH,KARKERI,SCW,Chhagndi,F,SCW,karkeri,AJMER,KISHANGARH,AJMERKISHANGARHkarkeri,0,NA,karkeri,0,0,0,0
Ajmer,Kishangarh,Kotdi,General (Woman),AjmerKishangarhKotdi,123,AJMER,KISHANGARH,KOTDI,General,BANWARI LAL,0,General,AJMER,KISHANGARH,AJMERKISHANGARHkotdi,143,AJMER,KISHANGARH,KOTDI,GEN,BANWARI LAL,MALE,GEN,kotdi,AJMER,KISHANGARH,NA,AJMERKISHANGARHkotdi,143,AJMER,KISHANGARH,KOTDI,GENW,Santosh,F,OBCW,kotdi,AJMER,KISHANGARH,AJMERKISHANGARHkotdi,0,NA,kotdi,0,0,0,0
Ajmer,Kishangarh,Maliyon Ki Bari,General (Woman),AjmerKishangarhMaliyon Ki Bari,125,AJMER,KISHANGARH,MALIYON KI BARI,General,PAPPU SINGH,1,OBC,AJMER,KISHANGARH,AJMERKISHANGARHmaliyon ki bari,145,AJMER,KISHANGARH,MALIYON KI BADI,SC,KACHRULAL,MALE,SC,maliyon ki bari,AJMER,KISHANGARH,NA,AJMERKISHANGARHmaliyon ki bari,145,AJMER,KISHANGARH,MALIYON KI BARI,GENW,Seeta Dewi,F,OBCW,maliyon ki bari,AJMER,KISHANGARH,AJMERKISHANGARHmaliyon ki bari,0,NA,maliyon ki bari,0,0,0,0
Ajmer,Kishangarh,Naloo,General (Woman),AjmerKishangarhNaloo,126,AJMER,KISHANGARH,NALOO,General,SUKHVEER,1,OBC,AJMER,KISHANGARH,AJMERKISHANGARHnaloo,146,AJMER,KISHANGARH,NALU,OBC,KISHANLAL,MALE,OBC,naloo,AJMER,KISHANGARH,NA,AJMERKISHANGARHnaloo,146,AJMER,KISHANGARH,NALOO,GENW,Shaguni,F,OBCW,naloo,AJMER,KISHANGARH,AJMERKISHANGARHnaloo,0,NA,naloo,0,0,0,0
Ajmer,Kishangarh,Paner,OBC (Woman),AjmerKishangarhPaner,129,AJMER,KISHANGARH,P ANER,General,MUKESH KUNWAR,0,General (Woman),AJMER,KISHANGARH,AJMERKISHANGARHpaner,149,AJMER,KISHANGARH,PANER,GEN,RATAN LAL,MALE,SC,paner,AJMER,KISHANGARH,NA,AJMERKISHANGARHpaner,149,AJMER,KISHANGARH,PANER,OBC,bHANWAR lAL,M,OBC,paner,AJMER,KISHANGARH,AJMERKISHANGARHpaner,0,NA,paner,0,0,0,0
Ajmer,Kishangarh,Ralawata,General,AjmerKishangarhRalawata,132,AJMER,KISHANGARH,RALAWATA,General,MOOLCHAND MALI,0,OBC,AJMER,KISHANGARH,AJMERKISHANGARHralawata,152,AJMER,KISHANGARH,RALAVATA,SC,SHAMBHU PRAKASH BHANBHI,MALE,SC,ralavata,AJMER,KISHANGARH,NA,AJMERKISHANGARHralavata,152,AJMER,KISHANGARH,RALAWATA,GENW,Manju Kanwar,F,GENW,ralawata,AJMER,KISHANGARH,AJMERKISHANGARHralawata,1,NA,ralawata,0,0,0,0
Ajmer,Kishangarh,Salemabad,SC,AjmerKishangarhSalemabad,134,AJMER,KISHANGARH,SALEMABAD,General,DHARANIDHAR,0,General,AJMER,KISHANGARH,AJMERKISHANGARHsalemabad,154,AJMER,KISHANGARH,SALEMABAD,SC W,BHANWARI DEVI,FEMALE,SC,salemabad,AJMER,KISHANGARH,NA,AJMERKISHANGARHsalemabad,154,AJMER,KISHANGARH,SALEMABAD,OBCW,Barjee,F,OBCW,salemabad,AJMER,KISHANGARH,AJMERKISHANGARHsalemabad,0,NA,salemabad,0,0,0,0
Ajmer,Kishangarh,Sinodiya,OBC,AjmerKishangarhSinodiya,137,AJMER,KISHANGARH,SINODIYA,General,MASTRAM,0,OBC,AJMER,KISHANGARH,AJMERKISHANGARHsinodiya,157,AJMER,KISHANGARH,SINODIYA,GEN W,BHANWARI DEVI,FEMALE,OBC,sinodiya,AJMER,KISHANGARH,NA,AJMERKISHANGARHsinodiya,157,AJMER,KISHANGARH,SINODIY A,OBCW,Mannudi Devi,F,OBCW,sinodiya,AJMER,KISHANGARH,AJMERKISHANGARHsinodiya,0,NA,sinodiya,0,0,0,0
Ajmer,Kishangarh,Tiloniya,General,AjmerKishangarhTiloniya,141,AJMER,KISHANGARH,TILONIYA,General,MANGLA RAM JAT,0,OBC,AJMER,KISHANGARH,AJMERKISHANGARHtiloniya,161,AJMER,KISHANGARH,TILONIA,OBC,KARAN SINGH,MALE,OBC,tiloniya,AJMER,KISHANGARH,NA,AJMERKISHANGARHtiloniya,161,AJMER,KISHANGARH,TILONIYA,SCW,KAmla Dewi,F,SCW,tiloniya,AJMER,KISHANGARH,AJMERKISHANGARHtiloniya,0,NA,tiloniya,0,0,0,0
Ajmer,Masuda,Dewas,General (Woman),AjmerMasudaDewas,150,AJMER,MASUDA,DEW AS,General,BAJRANG LAL,0,OBC,AJMER,MASUDA,AJMERMASUDAdewas,169,AJMER,MASUDA,DEVAS,OBC W,RUKMA,FEMALE,OBC,devas,AJMER,MASUDA,NA,AJMERMASUDAdevas,170,AJMER,MASUDA,DEWAS,GEN,Bhanwar Singh,M,OBC,dewas,AJMER,MASUDA,AJMERMASUDAdewas,1,NA,dewas,0,0,0,0
Ajmer,Masuda,Dholadanta,General (Woman),AjmerMasudaDholadanta,151,AJMER,MASUDA,DHOLADANT A,General,HANJA GURJAR,0,OBC,AJMER,MASUDA,AJMERMASUDAdholadanta,171,AJMER,MASUDA,DHOLADATA,OBC,LADU SINGH,MALE,OBC,dholadanta,AJMER,MASUDA,NA,AJMERMASUDAdholadanta,171,AJMER,MASUDA,DHOLADANTA,GEN,Mangilal,M,OBC,dholadanta,AJMER,MASUDA,AJMERMASUDAdholadanta,0,NA,dholadanta,0,0,0,0
Ajmer,Masuda,Hanutiya,General (Woman),AjmerMasudaHanutiya,152,AJMER,MASUDA,HANUTIYA,General,GOPAL LAL JAT,0,OBC,AJMER,MASUDA,AJMERMASUDAhanutiya,172,AJMER,MASUDA,HANUTIYA,SC W,MANGI DEVI,FEMALE,SC,hanutiya,AJMER,MASUDA,NA,AJMERMASUDAhanutiya,172,AJMER,MASUDA,HANUTIYA,GENW,Kunni,F,OBCW,hanutiya,AJMER,MASUDA,AJMERMASUDAhanutiya,0,NA,hanutiya,0,0,0,0
Ajmer,Masuda,Kanakhera,General,AjmerMasudaKanakhera,158,AJMER,MASUDA,KANAKHERA,General,GIRDHAR GOPAL,0,OBC,AJMER,MASUDA,AJMERMASUDAkanakhera,178,AJMER,MASUDA,KANAKHEDA,GEN W,JOOPEE,FEMALE,OBC,kanakheda,AJMER,MASUDA,NA,AJMERMASUDAkanakheda,178,AJMER,MASUDA,KANAKHERA,GENW,Sarla,F,OBCW,kanakhera,AJMER,MASUDA,AJMERMASUDAkanakhera,1,NA,kanakhera,0,0,0,0
Ajmer,Masuda,Lodiyana,General,AjmerMasudaLodiyana,161,AJMER,MASUDA,LODIYANA,General,MANTHRA,1,OBC,AJMER,MASUDA,AJMERMASUDAlodiyana,182,AJMER,MASUDA,LODIYANA,SC,RATAN LAL,MALE,SC,lodiyana,AJMER,MASUDA,NA,AJMERMASUDAlodiyana,181,AJMER,MASUDA,LODIYANA,OBCW,Gajju kanwar,F,OBCW,lodiyana,AJMER,MASUDA,AJMERMASUDAlodiyana,0,NA,lodiyana,0,0,0,0
Ajmer,Masuda,Loolwa,OBC (Woman),AjmerMasudaLoolwa,162,AJMER,MASUDA,LOOLWA,General,JAIDEEP,0,OBC,AJMER,MASUDA,AJMERMASUDAloolwa,183,AJMER,MASUDA,LULWA,GEN,MEWA,MALE,OBC,loolwa,AJMER,MASUDA,NA,AJMERMASUDAloolwa,182,AJMER,MASUDA,LOOLWA,GENW,Bhawari,F,OBCW,loolwa,AJMER,MASUDA,AJMERMASUDAloolwa,0,NA,loolwa,0,0,0,0
Ajmer,Masuda,Moyana,SC (Woman),AjmerMasudaMoyana,165,AJMER,MASUDA,MOYANA,General,MAYA,1,OBC,AJMER,MASUDA,AJMERMASUDAmoyana,186,AJMER,MASUDA,MOINA,GEN W,PARVATI DEVI,FEMALE,OBC,moyana,AJMER,MASUDA,NA,AJMERMASUDAmoyana,185,AJMER,MASUDA,MOYANA,OBCW,manju sain,F,OBCW,moyana,AJMER,MASUDA,AJMERMASUDAmoyana,0,NA,moyana,0,0,0,0
Ajmer,Masuda,Ramgarh,General (Woman),AjmerMasudaRamgarh,168,AJMER,MASUDA,RAMGARH,General,SHRIMATI GANGA,1,General,AJMER,MASUDA,AJMERMASUDAramgarh,189,AJMER,MASUDA,RAMGARH,GEN,UGMI GURJAR,FEMALE,OBC,ramgarh,AJMER,MASUDA,NA,AJMERMASUDAramgarh,188,AJMER,MASUDA,RAMGARH,ST,Bhawar lal Bhil,F,STW,ramgarh,AJMER,MASUDA,AJMERMASUDAramgarh,0,NA,ramgarh,0,0,0,0
Ajmer,Masuda,Shikhrani,General,AjmerMasudaShikhrani,172,AJMER,MASUDA,SHIKHRANI,General,KAMLA,1,General,AJMER,MASUDA,AJMERMASUDAshikhrani,193,AJMER,MASUDA,SHIKHRANI,OBC,DILIP KUMAR,MALE,OBC,shikhrani,AJMER,MASUDA,NA,AJMERMASUDAshikhrani,192,AJMER,MASUDA,SHIKHRANI,GEN,Dinesh,M,GEN,shikhrani,AJMER,MASUDA,AJMERMASUDAshikhrani,0,NA,shikhrani,0,0,0,0
Ajmer,Masuda,Shyamgarh,General,AjmerMasudaShyamgarh,173,AJMER,MASUDA,SHYAMGARH,General,SHARDA,1,OBC,AJMER,MASUDA,AJMERMASUDAshyamgarh,194,AJMER,MASUDA,SHYAMGARH,OBC,S.K. MASTANA,MALE,OBC,shyamgarh,AJMER,MASUDA,NA,AJMERMASUDAshyamgarh,193,AJMER,MASUDA,SHYAMGARH,GENW,Pankaj kanwar,F,OBCW,shyamgarh,AJMER,MASUDA,AJMERMASUDAshyamgarh,0,NA,shyamgarh,0,0,0,0
Ajmer,Masuda,Jeewana,General (Woman),AjmerMasudaJeewana,156,AJMER,MASUDA,JEEW ANA,General,CHANDRAVEER SINGH,0,General,AJMER,MASUDA,AJMERMASUDAjeewana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jeewana,NA,NA,NA,NA,NA,NA,NA,0,0,0
Ajmer,Masuda,Sathana,OBC (Woman),AjmerMasudaSathana,170,AJMER,MASUDA,SA THANA,General,PUSHPA DEVI,1,OBC,AJMER,MASUDA,AJMERMASUDAsathana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sathana,NA,NA,NA,NA,NA,NA,NA,0,0,0
