district_2020,ps_2020,gp_2020,reservation_2020,key_2020,sl_no_2015,dist_name_2015,samiti_name_2015,gp_2015,reservation_2015,name_2015,sex_2015,category_2015,dist_name_new_2015,samiti_name_new_2015,key_2015,sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2015,dist_name_new_2010,samiti_name_new_2010,key_2010,dist_05_10,nuke_05_10,gp_new_2010,dist,nuke,dist_2020,nuke_2020
Ajmer,Arai,Bhogadeet,General (Woman),AjmerAraiBhogadeet,4,AJMER,ARAI,BHOGADEET,General,SUNIT A,1,General,AJMER,ARAI,AJMERARAIbhogadeet,6,AJMER,ARAIN,BHOGADIT,GEN,AMBA LAL,MALE,GEN,bhogadeet,AJMER,ARAI,NA,AJMERARAIbhogadeet,6,AJMER,ARAI,BHOGADEET,OBC,Ramdev,M,OBC,bhogadeet,AJMER,ARAI,AJMERARAIbhogadeet,0,NA,bhogadeet,0,0,0,0
Ajmer,Arai,Dhasuk,SC,AjmerAraiDhasuk,8,AJMER,ARAI,DHASUK,General,SURENDER SINGH,0,OBC,AJMER,ARAI,AJMERARAIdhasuk,11,AJMER,ARAIN,DHASUK,GEN W,NIMMI DEVI,FEMALE,GEN,dhasuk,AJMER,ARAI,NA,AJMERARAIdhasuk,12,AJMER,ARAI,DHASUK,OBCW,Norti,F,OBCW,dhasuk,AJMER,ARAI,AJMERARAIdhasuk,0,NA,dhasuk,0,0,0,0
Ajmer,Arai,Kaseer,General,AjmerAraiKaseer,12,AJMER,ARAI,KASEER,General,GOPAL RAM,0,OBC,AJMER,ARAI,AJMERARAIkaseer,18,AJMER,ARAIN,KASHIR,GEN W,PUSI DEVI,FEMALE,OBC,kaseer,AJMER,ARAI,NA,AJMERARAIkaseer,19,AJMER,ARAI,KASEER,SC,Devi Lal,M,SC,kaseer,AJMER,ARAI,AJMERARAIkaseer,0,NA,kaseer,0,0,0,0
Ajmer,Arai,Sandoliya,General (Woman),AjmerAraiSandoliya,16,AJMER,ARAI,SANDOLIYA,General,DAYA JANGID,0,OBC,AJMER,ARAI,AJMERARAIsandoliya,26,AJMER,ARAIN,SADOLIYA,OBC W,PREM DEVI,FEMALE,OBC,sandoliya,AJMER,ARAI,NA,AJMERARAIsandoliya,26,AJMER,ARAI,SANDOLIY A,SCW,Lada Devi,F,SCW,sandoliya,AJMER,ARAI,AJMERARAIsandoliya,0,NA,sandoliya,0,0,0,0
Ajmer,Arai,Chhota Lamba,SC,AjmerAraiChhota Lamba,6,AJMER,ARAI,CHHOTA LAMBA,General,RAJNI,1,OBC,AJMER,ARAI,AJMERARAIchhota lamba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chhota lamba,NA,NA,NA,NA,NA,NA,NA,0,0,0
Ajmer,Bhinay,Badali,SC,AjmerBhinayBadali,21,AJMER,BHINAY,BADALI,General,SURESH KUMAR,0,OBC,AJMER,BHINAY,AJMERBHINAYbadali,32,AJMER,BHINAI,BADLI,OBC,GHISA LAL,MALE,OBC,badli,AJMER,BHINAY,NA,AJMERBHINAYbadli,31,AJMER,BHINAY,BADALI,GENW,Nima Kanwar,F,GENW,badali,AJMER,BHINAY,AJMERBHINAYbadali,1,NA,badali,0,0,0,0
Ajmer,Bhinay,Bandanwara,General (Woman),AjmerBhinayBandanwara,23,AJMER,BHINAY,BANDANW ARA,General,SUDESH,0,OBC,AJMER,BHINAY,AJMERBHINAYbandanwara,33,AJMER,BHINAI,BANDANWADA,GEN W,KAMLENDRA KANWAR,FEMALE,GEN,bandanwara,AJMER,BHINAY,NA,AJMERBHINAYbandanwara,33,AJMER,BHINAY,BANDANW ARA,GEN,Vikram Singh,M,GEN,bandanwara,AJMER,BHINAY,AJMERBHINAYbandanwara,0,NA,bandanwara,0,0,0,0
Ajmer,Bhinay,Devliyakalan,General (Woman),AjmerBhinayDevliyakalan,28,AJMER,BHINAY,DEVLIYAKALAN,General,MANISHA,1,General,AJMER,BHINAY,AJMERBHINAYdevliyakalan,41,AJMER,BHINAI,DEVLIYA KALAN,GEN,RAMSWAROOP MEWARA,MALE,OBC,devliyakalan,AJMER,BHINAY,NA,AJMERBHINAYdevliyakalan,41,AJMER,BHINAY,DEVLIYAKALAN,OBC,Ram Swaroop,M,OBC,devliyakalan,AJMER,BHINAY,AJMERBHINAYdevliyakalan,0,NA,devliyakalan,0,0,0,0
Ajmer,Bhinay,Dhantol,General (Woman),AjmerBhinayDhantol,29,AJMER,BHINAY,DHANTOL,General,MANOJ KUMAR,0,OBC,AJMER,BHINAY,AJMERBHINAYdhantol,42,AJMER,BHINAI,DHANTOL,OBC W,SANTOK,FEMALE,OBC,dhantol,AJMER,BHINAY,NA,AJMERBHINAYdhantol,42,AJMER,BHINAY,DHANTOL,SC,Raju Lal Bairwa,M,SC,dhantol,AJMER,BHINAY,AJMERBHINAYdhantol,0,NA,dhantol,0,0,0,0
Ajmer,Bhinay,Ekalsinha,OBC,AjmerBhinayEkalsinha,30,AJMER,BHINAY,EKALSINHA,General,SOHAN LAL,0,OBC,AJMER,BHINAY,AJMERBHINAYekalsinha,43,AJMER,BHINAI,EKALSINGA,SC,JAGDISH,MALE,SC,ekalsinha,AJMER,BHINAY,NA,AJMERBHINAYekalsinha,43,AJMER,BHINAY,EKALSINHA,GENW,Chand Kanwar,F,GENW,ekalsinha,AJMER,BHINAY,AJMERBHINAYekalsinha,0,NA,ekalsinha,0,0,0,0
