,District,CategoryOfGramPanchyat,manual,new_subdistrict,NameOfGramPanchyat.x,NameOfGramPanchyat.y,Subdistrict_Name_LGD,District_Name_LGD,dist,quality_auto,quality_manu
7895,ajmer,OBC (Woman),good,bhinay,badgaon,bargaon (surkhand),bhinay,ajmer,0.26984127,bad,good
8103,ajmer,General (Woman),bad,nawa,badkhochra,bar kochara,beawar,ajmer,0.261742424,bad,good
7894,ajmer,General,bad,ajmer,dumada,doomara,ajmer,ajmer,0.253968254,bad,good
10064,ajmer,General (Woman),bad,nawa,nundrimedratan,noondri mahindratan,beawar,ajmer,0.23987051,bad,good
10786,ajmer,SC,bad,nawa,thikrana mahendratan,theekrana mendratan,beawar,ajmer,0.222342621,bad,good
4800,ajmer,OBC,good,kishangarh,sinodiya,sinodiya,roopangarh,ajmer,0.222222222,bad,good
4798,ajmer,SC,bad,sarwar,kalyanpura,kalyanpura,tantoli,ajmer,0.221212121,bad,good
7893,ajmer,General (Woman),bad,ajmer,bhudol,bhoodol,ajmer,ajmer,0.217460317,bad,good
10526,ajmer,OBC,bad,nawa,satukheda,satoo khera,tatgarh,ajmer,0.195286195,bad,good
4797,ajmer,General (Woman),good,masuda,andheri devri,andhi deori,masuda,ajmer,0.190559441,bad,good
7892,ajmer,SC (Woman),good,masuda,devmgari (b),devmangri,masuda,ajmer,0.189814815,bad,good
7891,ajmer,SC,good,bhinay,kaneikalan,kanai kalan,bhinay,ajmer,0.186531987,bad,good
4796,ajmer,General,good,masuda,lodiyana,LODIYANA,vijaynagar,ajmer,0.180555556,bad,good
4795,ajmer,General (Woman),good,bhinay,sobari,SOBDI,bhinay,ajmer,0.177777778,bad,good
7884,ajmer,SC,good,bhinay,badali,barli,bhinay,ajmer,0.177777778,bad,good
7886,ajmer,SC,good,kekri,nayaki,naiki,kekri,ajmer,0.177777778,bad,good
9355,ajmer,General (Woman),bad,ajmer,kansas,kanas.,pushkar,ajmer,0.177777778,bad,good
7883,ajmer,OBC,good,bhinay,ekalsinha,ekalseenga,bhinay,ajmer,0.174074074,bad,good
8085,ajmer,General,bad,nawa,badakheda @ kherakalan,bada khera (khera kalan),tatgarh,ajmer,0.169191919,bad,good
7882,ajmer,OBC,good,masuda,begliyabas,begaliyawas,masuda,ajmer,0.168013468,bad,good
9261,ajmer,OBC,bad,nagaur,jilavada,jilawara,nasirabad,ajmer,0.166666667,bad,good
7881,ajmer,SC,bad,ajmer,rasulpura,rasoolpura,ajmer,ajmer,0.166203704,bad,good
8304,ajmer,OBC,bad,nawa,bhairukheda,bhairoo khera,beawar,ajmer,0.163170163,bad,good
7880,ajmer,SC (Woman),good,kishangarh,bandarsindri,bandar seendri,kishangarh,ajmer,0.15981241,bad,good
7879,ajmer,General (Woman),bad,ajmer,ardka,aradka,ajmer,ajmer,0.155555556,bad,good
7870,ajmer,OBC,good,peesangan,dantada,dantra,peesangan,ajmer,0.150793651,bad,good
7871,ajmer,General,bad,ajmer,badlya,barliya,ajmer,ajmer,0.150793651,bad,good
7872,ajmer,OBC,bad,ajmer,bhawata,bhanwta,ajmer,ajmer,0.150793651,bad,good
7874,ajmer,General,bad,ajmer,tabiji,tabeeji,ajmer,ajmer,0.150793651,bad,good
7875,ajmer,General (Woman),good,masuda,masuda,masooda,masuda,ajmer,0.150793651,bad,good
7876,ajmer,General,good,kekri,juniya,jooniya,kekri,ajmer,0.150793651,bad,good
7877,ajmer,SC,good,arain,dhasuk,dhasook,arain,ajmer,0.150793651,bad,good
7878,ajmer,General (Woman),good,sawar,piplaj,peeplaj,sawar,ajmer,0.150793651,bad,good
8295,ajmer,General (Woman),good,kishangarh,bhadun,bhadoon,roopangarh,ajmer,0.150793651,bad,good
8493,ajmer,General,good,kishangarh,buharu,buharoo,roopangarh,ajmer,0.150793651,bad,good
7977,ajmer,General,bad,nawa,aasan,asan,beawar,ajmer,0.15,bad,good
9167,ajmer,General (Woman),bad,nawa,jaliya first,jaliya ii,vijaynagar,ajmer,0.148148148,bad,good
7796,ajmer,General,good,sawar,mehrunkalan,mehroo kalan,sawar,ajmer,0.143939394,good,good
7812,ajmer,General (Woman),good,bhinay,padliya,padaliya,bhinay,ajmer,0.136904762,good,good
10698,ajmer,OBC (Woman),bad,nawa,surdiya,suradiya,beawar,ajmer,0.136904762,bad,good
8152,ajmer,OBC (Woman),bad,nawa,balad,balar,beawar,ajmer,0.133333333,bad,good
7574,ajmer,SC (Woman),bad,sarwar,arwad,arwar,sarwar,ajmer,0.133333333,good,good
7687,ajmer,General,bad,ajmer,gegel,gegal,ajmer,ajmer,0.133333333,good,good
7786,ajmer,General (Woman),good,peesangan,leedi,leeri,peesangan,ajmer,0.133333333,good,good
7869,ajmer,SC,good,masuda,uttami (b),uttami,masuda,ajmer,0.133333333,good,good
7770,ajmer,OBC (Woman),good,peesangan,kesarpura-mevadia,kesarpura mewariya,peesangan,ajmer,0.132897603,good,good
7694,ajmer,OBC (Woman),bad,ajmer,ghughra,ghooghra,ajmer,ajmer,0.130952381,good,good
7726,ajmer,SC (Woman),bad,ajmer,hatundi,hatoondi,ajmer,ajmer,0.130952381,good,good
7761,ajmer,General (Woman),good,arain,katsura,katsoora,arain,ajmer,0.130952381,good,good
8665,ajmer,General,bad,nagaur,derathu,derathoo,nasirabad,ajmer,0.130952381,bad,good
10593,ajmer,OBC,good,masuda,shivpuraghata (b),shivpura ghata,vijaynagar,ajmer,0.130252101,bad,good
7623,ajmer,SC,good,peesangan,bidkchiyawas,bidkachiyawas,peesangan,ajmer,0.122863248,good,good
10063,ajmer,General (Woman),bad,nawa,nundri maldev,noondri maldeo,beawar,ajmer,0.122710623,bad,good
7578,ajmer,ST (Woman),good,sawar,bajata,bajta,sawar,ajmer,0.122222222,good,good
7703,ajmer,General,bad,sarwar,goyala,goyla,sarwar,ajmer,0.122222222,good,good
7780,ajmer,SC,good,kekri,kohda,kohada,kekri,ajmer,0.122222222,good,good
7791,ajmer,General,good,peesangan,mangliyawas,mangaliyawas,peesangan,ajmer,0.118686869,good,good
7601,ajmer,General (Woman),good,peesangan,bhatsuri,bhatsoori,peesangan,ajmer,0.115740741,good,good
7712,ajmer,General (Woman),good,masuda,hanutiya,hanootiya,masuda,ajmer,0.115740741,good,good
8687,ajmer,General (Woman),bad,ajmer,devnagar,deo nagar,pushkar,ajmer,0.115740741,bad,good
9823,ajmer,ST,bad,nagaur,mawashiya,maoshiya,nasirabad,ajmer,0.115740741,bad,good
7676,ajmer,OBC (Woman),bad,ajmer,dourai,daurai,ajmer,ajmer,0.111111111,good,good
7632,ajmer,SC (Woman),good,bhinay,chachundra,chhachhundra,bhinay,ajmer,0.105555556,good,good
8775,ajmer,General (Woman),good,sawar,dhundhari,dhoondhari,kekri,ajmer,0.103703704,bad,good
7777,ajmer,OBC,good,masuda,kheempura (b),kheempura,masuda,ajmer,0.102564103,good,good
10592,ajmer,SC,good,masuda,shivnagar (b),shivnagar,vijaynagar,ajmer,0.102564103,bad,good
7826,ajmer,OBC,bad,ajmer,ramneradhani,ramner dhani,ajmer,ajmer,0.101010101,good,good
7575,ajmer,General,bad,ajmer,babaycha,babayacha,ajmer,ajmer,0.099537037,good,good
7855,ajmer,General,good,masuda,shikhrani,sikhrani,masuda,ajmer,0.099537037,good,good
9066,ajmer,General (Woman),good,kishangarh,harmada,harmara,roopangarh,ajmer,0.095238095,good,good
9216,ajmer,General (Woman),good,masuda,jeewana,jeevana,vijaynagar,ajmer,0.095238095,good,good
7576,ajmer,ST (Woman),good,sawar,badh ka jhopda,barh ka jhopra,sawar,ajmer,0.095238095,good,good
7661,ajmer,General,good,kekri,devgaon,deogaon,kekri,ajmer,0.095238095,good,good
7663,ajmer,General (Woman),good,masuda,devmali,deomali,masuda,ajmer,0.095238095,good,good
7670,ajmer,General,good,arain,devpuri,deopuri,arain,ajmer,0.095238095,good,good
7801,ajmer,SC,good,peesangan,nagelav,nagelao,peesangan,ajmer,0.095238095,good,good
7841,ajmer,General (Woman),good,kekri,sarsadi,sarsari,kekri,ajmer,0.095238095,good,good
7843,ajmer,General,bad,sarwar,satolav,satolao,sarwar,ajmer,0.095238095,good,good
7711,ajmer,OBC (Woman),good,bhinay,gudhakhurd,gurha khurd,bhinay,ajmer,0.093939394,good,good
7725,ajmer,General,bad,ajmer,hathikheda,hathi khera,ajmer,ajmer,0.093939394,good,good
7797,ajmer,SC,good,kekri,mewdakalan,meoda kalan,kekri,ajmer,0.093939394,good,good
7634,ajmer,SC (Woman),bad,sarwar,chandama,chandma,sarwar,ajmer,0.089285714,good,good
8909,ajmer,General (Woman),bad,ajmer,ganaheda,ganahera,pushkar,ajmer,0.083333333,good,good
9232,ajmer,General,bad,nagaur,jhadwasa,jharwasa,nasirabad,ajmer,0.083333333,good,good
9660,ajmer,OBC (Woman),bad,nawa,lassadia,lasadiya,beawar,ajmer,0.083333333,good,good
10514,ajmer,General (Woman),bad,nawa,sarweena,sarveena,beawar,ajmer,0.083333333,good,good
7588,ajmer,SC (Woman),good,arain,bhamolaw,bhamolav,arain,ajmer,0.083333333,good,good
7805,ajmer,General,good,masuda,nandwada,nandwara,masuda,ajmer,0.083333333,good,good
7847,ajmer,General,bad,ajmer,sendaria,sedariya,ajmer,ajmer,0.083333333,good,good
7868,ajmer,General,good,kishangarh,tikawada,tikawara,kishangarh,ajmer,0.083333333,good,good
7887,ajmer,OBC (Woman),bad,sarwar,bhatolav,bhatolao,sarwar,ajmer,0.083333333,good,good
7662,ajmer,General (Woman),good,bhinay,devliyakalan,deoliya kalan,bhinay,ajmer,0.079059829,good,good
8171,ajmer,General,bad,nawa,bamanheda,bamanhera,tatgarh,ajmer,0.074074074,good,good
7748,ajmer,SC (Woman),good,arain,kakalwada,kakalwara,arain,ajmer,0.074074074,good,good
7788,ajmer,General (Woman),bad,ajmer,makadwali,makarwali,ajmer,ajmer,0.074074074,good,good
9762,ajmer,General,bad,nawa,malaton ki bair,malaton ki ber,beawar,ajmer,0.068253968,good,good
7550,ajmer,SC (Woman),good,sawar,aamli,amali,sawar,ajmer,0.066666667,good,good
7570,ajmer,SC,good,arain,arai,arain,arain,ajmer,0.066666667,good,good
7616,ajmer,OBC,good,kekri,bheemdawas,bheemrawas,kekri,ajmer,0.066666667,good,good
7742,ajmer,General (Woman),good,masuda,jhak,jhank,masuda,ajmer,0.066666667,good,good
7842,ajmer,ST,good,masuda,satawadiya,satawariya,masuda,ajmer,0.066666667,good,good
7889,ajmer,General,good,masuda,daulatpura - ii,daulatpura-i,masuda,ajmer,0.066666667,good,good
9166,ajmer,General,good,masuda,jaliya - ii,jaliya ii,vijaynagar,ajmer,0.060606061,good,good
9996,ajmer,ST,good,sawar,nayagaon meeno ka,nayagaon meena,kekri,ajmer,0.058823529,good,good
7834,ajmer,General (Woman),bad,sarwar,sanpla,sapla,sarwar,ajmer,0.055555556,good,good
7562,ajmer,General (Woman),bad,ajmer,ajyasar,ajaysar,ajmer,ajmer,0.047619048,good,good
7659,ajmer,General (Woman),good,masuda,daulatpura - i,daulatpura-i,masuda,ajmer,0.047619048,good,good
7806,ajmer,General,bad,ajmer,narelli,nareli,ajmer,ajmer,0.047619048,good,good
7860,ajmer,ST,good,arain,sironj,siroonj,arain,ajmer,0.047619048,good,good
9278,ajmer,General (Woman),bad,sarwar,jotaya,jotayan,tantoli,ajmer,0.047619048,good,good
9382,ajmer,General,good,arain,kaseer,kasheer,sarwar,ajmer,0.047619048,good,good
3831,ajmer,General,good,sawar,kaleda kanwarji,kalera kanwarji,sawar,ajmer,0.044444444,good,good
7565,ajmer,General (Woman),good,arain,akodiya,aakodiya,arain,ajmer,0.041666667,good,good
8195,ajmer,SC,bad,ajmer,banselli,banseli,pushkar,ajmer,0.041666667,good,good
8205,ajmer,General (Woman),good,masuda,baral -ii,baral-ii,vijaynagar,ajmer,0.037037037,good,good
9936,ajmer,General,bad,nawa,naikalan,nai kalan,beawar,ajmer,0.037037037,good,good
10352,ajmer,General (Woman),bad,nawa,rawatmal,rawatmala,beawar,ajmer,0.037037037,good,good
7660,ajmer,General (Woman),good,kishangarh,deedwara,deendwara,kishangarh,ajmer,0.037037037,good,good
7696,ajmer,SC (Woman),bad,ajmer,godiawas,godiyawas,ajmer,ajmer,0.037037037,good,good
7823,ajmer,General,good,kishangarh,ralawata,ralawatan,kishangarh,ajmer,0.037037037,good,good
9331,ajmer,General (Woman),bad,nagaur,kanakheri,kana kheri,nasirabad,ajmer,0.033333333,good,good
7735,ajmer,OBC,bad,sarwar,hingoniya,hingoniyan,sarwar,ajmer,0.033333333,good,good
7755,ajmer,General,good,masuda,kanakhera,kana khera,masuda,ajmer,0.033333333,good,good
7766,ajmer,General,good,peesangan,kesarpura,kesharpura,peesangan,ajmer,0.033333333,good,good
7857,ajmer,General,good,masuda,shyamgarh,shyam garh,masuda,ajmer,0.033333333,good,good
8262,ajmer,General,bad,nawa,beawarkhas,beawar khas,beawar,ajmer,0.03030303,good,good
7674,ajmer,General (Woman),good,masuda,dholadanta,dhola danta,masuda,ajmer,0.03030303,good,good
9973,ajmer,General,bad,nawa,narbadkhera,narbad khera,beawar,ajmer,0.027777778,good,good
7897,ajmer,General (Woman),good,kishangarh,maliyon ki bari,malion ki bari,kishangarh,ajmer,0.022222222,good,good
997,ajmer,General (Woman),good,bhinay,bandanwara,bandanwara,bhinay,ajmer,0,good,good
7567,ajmer,OBC (Woman),good,peesangan,alipura,alipura,peesangan,ajmer,0,good,good
7568,ajmer,General (Woman),good,sawar,aloli,aloli,sawar,ajmer,0,good,good
7577,ajmer,OBC,good,kekri,baghera,baghera,kekri,ajmer,0,good,good
7580,ajmer,SC,good,kishangarh,barna,barna,kishangarh,ajmer,0,good,good
7586,ajmer,General (Woman),bad,ajmer,beer,beer,ajmer,ajmer,0,good,good
7587,ajmer,General (Woman),good,peesangan,bhagwanpura,bhagwanpura,peesangan,ajmer,0,good,good
7589,ajmer,ST,good,sawar,bhandawas,bhandawas,sawar,ajmer,0,good,good
7598,ajmer,OBC (Woman),good,kekri,bharai,bharai,kekri,ajmer,0,good,good
7617,ajmer,General (Woman),good,bhinay,bhinay,bhinay,bhinay,ajmer,0,good,good
7618,ajmer,General (Woman),good,arain,bhogadeet,bhogadeet,arain,ajmer,0,good,good
7624,ajmer,General,bad,sarwar,birla,birla,sarwar,ajmer,0,good,good
7625,ajmer,General,good,bhinay,boobkiya,boobkiya,bhinay,ajmer,0,good,good
7626,ajmer,SC (Woman),bad,ajmer,bubani,bubani,ajmer,ajmer,0,good,good
7629,ajmer,General,good,peesangan,budhwara,budhwara,peesangan,ajmer,0,good,good
7630,ajmer,General (Woman),bad,ajmer,chachiyawas,chachiyawas,ajmer,ajmer,0,good,good
7642,ajmer,OBC,good,bhinay,chapaneri,chapaneri,bhinay,ajmer,0,good,good
7647,ajmer,OBC (Woman),good,sawar,cheetiwas,cheetiwas,sawar,ajmer,0,good,good
7648,ajmer,SC,good,arain,chhota lamba,chhota lamba,arain,ajmer,0,good,good
7651,ajmer,General (Woman),good,arain,dadiya,dadiya,arain,ajmer,0,good,good
7658,ajmer,General,bad,ajmer,danta,danta,ajmer,ajmer,0,good,good
7664,ajmer,SC,good,bhinay,devpura,devpura,bhinay,ajmer,0,good,good
7673,ajmer,General (Woman),good,bhinay,dhantol,dhantol,bhinay,ajmer,0,good,good
7675,ajmer,OBC,good,peesangan,dodiyana,dodiyana,peesangan,ajmer,0,good,good
7684,ajmer,OBC (Woman),bad,sarwar,fatehgarh,fatehgarh,sarwar,ajmer,0,good,good
7686,ajmer,General (Woman),bad,ajmer,gagwana,gagwana,ajmer,ajmer,0,good,good
7693,ajmer,General (Woman),good,sawar,ghatiyali,ghatiyali,sawar,ajmer,0,good,good
7698,ajmer,General (Woman),good,peesangan,gola,gola,peesangan,ajmer,0,good,good
7699,ajmer,OBC,bad,sarwar,gopalpura,gopalpura,sarwar,ajmer,0,good,good
7700,ajmer,General (Woman),good,sawar,gordha,gordha,sawar,ajmer,0,good,good
7701,ajmer,General,good,arain,gothiyana,gothiyana,arain,ajmer,0,good,good
7702,ajmer,General,good,peesangan,govindgarh,govindgarh,peesangan,ajmer,0,good,good
7714,ajmer,General (Woman),bad,sarwar,harpura,harpura,sarwar,ajmer,0,good,good
7717,ajmer,General,good,masuda,harrajpura,harrajpura,masuda,ajmer,0,good,good
7736,ajmer,ST,bad,sarwar,jadana,jadana,sarwar,ajmer,0,good,good
7737,ajmer,General,good,masuda,jamola,jamola,masuda,ajmer,0,good,good
7739,ajmer,SC (Woman),good,peesangan,jaswantpura,jaswantpura,peesangan,ajmer,0,good,good
7740,ajmer,General,good,peesangan,jethana,jethana,peesangan,ajmer,0,good,good
7744,ajmer,General (Woman),good,arain,jheerota,jheerota,arain,ajmer,0,good,good
7745,ajmer,General,good,kekri,kadera,kadera,kekri,ajmer,0,good,good
7747,ajmer,OBC (Woman),good,kishangarh,kadha,kadha,kishangarh,ajmer,0,good,good
7749,ajmer,OBC,good,arain,kalanada,kalanada,arain,ajmer,0,good,good
7753,ajmer,General (Woman),good,kekri,kalera krishna gopal,kalera krishna gopal,kekri,ajmer,0,good,good
7754,ajmer,General,good,peesangan,kalesara,kalesara,peesangan,ajmer,0,good,good
7756,ajmer,ST,good,kekri,kanoj,kanoj,kekri,ajmer,0,good,good
7758,ajmer,General (Woman),good,bhinay,karanti,karanti,bhinay,ajmer,0,good,good
7759,ajmer,General (Woman),good,peesangan,karnos,karnos,peesangan,ajmer,0,good,good
7762,ajmer,OBC (Woman),bad,ajmer,kayad,kayad,ajmer,ajmer,0,good,good
7764,ajmer,General (Woman),bad,ajmer,kayampura,kayampura,ajmer,ajmer,0,good,good
7765,ajmer,General (Woman),good,bhinay,kerot,kerot,bhinay,ajmer,0,good,good
7773,ajmer,General,good,masuda,kharwa,kharwa,masuda,ajmer,0,good,good
7775,ajmer,OBC,good,kishangarh,khatoli,khatoli,kishangarh,ajmer,0,good,good
7776,ajmer,General (Woman),good,kekri,khawas,khawas,kekri,ajmer,0,good,good
7778,ajmer,General (Woman),bad,sarwar,kheeriya,kheeriya,sarwar,ajmer,0,good,good
7779,ajmer,General (Woman),good,masuda,kirap,kirap,masuda,ajmer,0,good,good
7781,ajmer,OBC,good,kishangarh,kucheel,kucheel,kishangarh,ajmer,0,good,good
7782,ajmer,OBC,good,bhinay,kumhariya,kumhariya,bhinay,ajmer,0,good,good
7783,ajmer,General,good,sawar,kushayata,kushayata,sawar,ajmer,0,good,good
7784,ajmer,SC (Woman),good,peesangan,lamana,lamana,peesangan,ajmer,0,good,good
7785,ajmer,SC (Woman),good,bhinay,lamgara,lamgara,bhinay,ajmer,0,good,good
7787,ajmer,OBC (Woman),good,masuda,loolwa,loolwa,masuda,ajmer,0,good,good
7789,ajmer,OBC,good,peesangan,makrera,makrera,peesangan,ajmer,0,good,good
7790,ajmer,General (Woman),good,arain,mandawariya,mandawariya,arain,ajmer,0,good,good
7792,ajmer,SC (Woman),good,kekri,mankhand,mankhand,kekri,ajmer,0,good,good
7793,ajmer,OBC,good,masuda,manpura,manpura,masuda,ajmer,0,good,good
7794,ajmer,General,bad,ajmer,mayapur,mayapur,ajmer,ajmer,0,good,good
7795,ajmer,General,good,masuda,mayla,mayla,masuda,ajmer,0,good,good
7798,ajmer,General,good,kekri,molkiya,molkiya,kekri,ajmer,0,good,good
7799,ajmer,SC (Woman),good,masuda,moyana,moyana,masuda,ajmer,0,good,good
7800,ajmer,General (Woman),good,masuda,nadi,nadi,masuda,ajmer,0,good,good
7802,ajmer,General,good,bhinay,nagola,nagola,bhinay,ajmer,0,good,good
7803,ajmer,General (Woman),good,kishangarh,naloo,naloo,kishangarh,ajmer,0,good,good
7804,ajmer,General,good,bhinay,nandsi,nandsi,bhinay,ajmer,0,good,good
7807,ajmer,General,bad,ajmer,narwar,narwar,ajmer,ajmer,0,good,good
7808,ajmer,OBC (Woman),good,masuda,nayagaon,nayagaon,masuda,ajmer,0,good,good
7809,ajmer,SC (Woman),good,kekri,nimod,nimod,kekri,ajmer,0,good,good
7810,ajmer,General,good,bhinay,padanga,padanga,bhinay,ajmer,0,good,good
7813,ajmer,General,good,peesangan,pagara,pagara,peesangan,ajmer,0,good,good
7814,ajmer,General (Woman),bad,ajmer,palra,palra,ajmer,ajmer,0,good,good
7816,ajmer,General (Woman),good,kishangarh,patan,patan,kishangarh,ajmer,0,good,good
7817,ajmer,General (Woman),good,masuda,peeplaj,peeplaj,masuda,ajmer,0,good,good
7818,ajmer,General (Woman),good,peesangan,peesangan,peesangan,peesangan,ajmer,0,good,good
7819,ajmer,General (Woman),good,peesangan,picholiya,picholiya,peesangan,ajmer,0,good,good
7821,ajmer,SC (Woman),good,kekri,pranheda,pranheda,kekri,ajmer,0,good,good
7824,ajmer,General,good,bhinay,rammaliya,rammaliya,bhinay,ajmer,0,good,good
7827,ajmer,General (Woman),good,peesangan,rampura dabla,rampura dabla,peesangan,ajmer,0,good,good
7828,ajmer,ST,good,bhinay,ratakot,ratakot,bhinay,ajmer,0,good,good
7829,ajmer,SC,bad,sarwar,sadapur,sadapur,sarwar,ajmer,0,good,good
7831,ajmer,SC (Woman),good,sawar,sadara,sadara,sawar,ajmer,0,good,good
7832,ajmer,OBC (Woman),good,kekri,salari,salari,kekri,ajmer,0,good,good
7833,ajmer,General (Woman),good,arain,sandoliya,sandoliya,arain,ajmer,0,good,good
7837,ajmer,OBC,bad,ajmer,saradhana,saradhana,ajmer,ajmer,0,good,good
7838,ajmer,OBC,bad,ajmer,sarana,sarana,ajmer,ajmer,0,good,good
7839,ajmer,SC,good,kishangarh,sargaon,sargaon,kishangarh,ajmer,0,good,good
7846,ajmer,General,good,sawar,sawar,sawar,sawar,ajmer,0,good,good
7848,ajmer,General,good,masuda,shergarh,shergarh,masuda,ajmer,0,good,good
7856,ajmer,General (Woman),bad,sarwar,shokaliya,shokaliya,sarwar,ajmer,0,good,good
7858,ajmer,OBC,good,kishangarh,silora,silora,kishangarh,ajmer,0,good,good
7859,ajmer,General,good,bhinay,singawal,singawal,bhinay,ajmer,0,good,good
7861,ajmer,SC,bad,ajmer,somalpur,somalpur,ajmer,ajmer,0,good,good
7862,ajmer,General,bad,sarwar,soonpa,soonpa,sarwar,ajmer,0,good,good
7865,ajmer,General (Woman),bad,sarwar,syar,syar,sarwar,ajmer,0,good,good
7866,ajmer,OBC,bad,sarwar,tajpura,tajpura,sarwar,ajmer,0,good,good
7867,ajmer,General,good,sawar,tankawas,tankawas,sawar,ajmer,0,good,good
7888,ajmer,SC,bad,sarwar,sunariya,sunariya,sarwar,ajmer,0,good,good
7890,ajmer,General (Woman),good,kekri,lasadiya,lasadiya,kekri,ajmer,0,good,good
7896,ajmer,ST (Woman),good,sawar,sadari,sadari,sawar,ajmer,0,good,good
7898,ajmer,SC,good,kishangarh,salemabad,salemabad,kishangarh,ajmer,0,good,good
7899,ajmer,General,good,kishangarh,tiloniya,tiloniya,kishangarh,ajmer,0,good,good
8008,ajmer,General,good,kekri,ajgara,ajgara,sarwar,ajmer,0,good,good
8065,ajmer,OBC,bad,nawa,ateetmand,ateetmand,beawar,ajmer,0,good,good
8101,ajmer,OBC,bad,nawa,badiya bhau,badiya bhau,beawar,ajmer,0,good,good
8124,ajmer,OBC (Woman),bad,nagaur,baghsuri,baghsuri,nasirabad,ajmer,0,good,good
8191,ajmer,General,bad,nawa,banjari,banjari,tatgarh,ajmer,0,good,good
8230,ajmer,OBC,good,arain,barol,barol,sarwar,ajmer,0,good,good
8301,ajmer,OBC (Woman),good,arain,bhagwantpura,bhagwantpura,sarwar,ajmer,0,good,good
8348,ajmer,General (Woman),bad,nagaur,bhatiyani,bhatiyani,nasirabad,ajmer,0,good,good
8356,ajmer,General (Woman),bad,nagaur,bhawani khera,bhawani khera,nasirabad,ajmer,0,good,good
8364,ajmer,SC (Woman),good,kishangarh,bhilawat,bhilawat,roopangarh,ajmer,0,good,good
8454,ajmer,General,bad,nagaur,bithoor,bithoor,nasirabad,ajmer,0,good,good
8466,ajmer,OBC,good,arain,borada,borada,sarwar,ajmer,0,good,good
8610,ajmer,General,good,arain,dabrela,dabrela,sarwar,ajmer,0,good,good
8661,ajmer,General (Woman),bad,nawa,delwara,delwara,beawar,ajmer,0,good,good
8694,ajmer,General (Woman),bad,nawa,dewata,dewata,beawar,ajmer,0,good,good
8700,ajmer,General (Woman),bad,nagaur,dhal,dhal,nasirabad,ajmer,0,good,good
8785,ajmer,General (Woman),bad,nagaur,dilwara,dilwara,nasirabad,ajmer,0,good,good
8846,ajmer,General,bad,nawa,durgawas,durgawas,beawar,ajmer,0,good,good
8872,ajmer,OBC (Woman),bad,nawa,fatehgarh salla,fatehgarh salla,beawar,ajmer,0,good,good
8977,ajmer,SC,bad,nawa,gohana,gohana,beawar,ajmer,0,good,good
9018,ajmer,OBC,good,sawar,gulgaon,gulgaon,kekri,ajmer,0,good,good
9154,ajmer,General (Woman),good,kishangarh,jajota,jajota,roopangarh,ajmer,0,good,good
9205,ajmer,General (Woman),bad,nawa,jawaja,jawaja,beawar,ajmer,0,good,good
9288,ajmer,General,bad,nawa,kabra,kabra,beawar,ajmer,0,good,good
9352,ajmer,General (Woman),bad,nagaur,kanpura,kanpura,nasirabad,ajmer,0,good,good
9370,ajmer,General,good,kishangarh,karkeri,karkeri,roopangarh,ajmer,0,good,good
9401,ajmer,General (Woman),bad,sarwar,kebaniya,kebaniya,tantoli,ajmer,0,good,good
9520,ajmer,OBC (Woman),bad,ajmer,khori,khori,pushkar,ajmer,0,good,good
9650,ajmer,General (Woman),good,kekri,lallai,lallai,sarwar,ajmer,0,good,good
9663,ajmer,OBC,bad,nagaur,lavera,lavera,nasirabad,ajmer,0,good,good
9686,ajmer,OBC (Woman),bad,nagaur,loharwara,loharwara,nasirabad,ajmer,0,good,good
9696,ajmer,General (Woman),bad,nawa,lotiyana,lotiyana,beawar,ajmer,0,good,good
9810,ajmer,OBC (Woman),good,arain,manoharpura,manoharpura,sarwar,ajmer,0,good,good
9827,ajmer,OBC,bad,nawa,mediya,mediya,beawar,ajmer,0,good,good
9885,ajmer,SC,good,kishangarh,motipura,motipura,arain,ajmer,0,good,good
9946,ajmer,General,bad,ajmer,nand,nand,pushkar,ajmer,0,good,good
9952,ajmer,General,bad,nagaur,nandla,nandla,nasirabad,ajmer,0,good,good
10058,ajmer,SC (Woman),good,kishangarh,nosal,nosal,roopangarh,ajmer,0,good,good
10067,ajmer,General,bad,nagaur,nyara,nyara,nasirabad,ajmer,0,good,good
10103,ajmer,OBC (Woman),bad,nawa,pakhriyawas,pakhriyawas,beawar,ajmer,0,good,good
10161,ajmer,ST,good,sawar,para,para,kekri,ajmer,0,good,good
10185,ajmer,General,good,kishangarh,peenglod,peenglod,roopangarh,ajmer,0,good,good
10195,ajmer,SC,bad,nagaur,pharkiya,pharkiya,nasirabad,ajmer,0,good,good
10296,ajmer,General,bad,nawa,rajiyawas,rajiyawas,beawar,ajmer,0,good,good
10304,ajmer,OBC,bad,nagaur,rajosi,rajosi,nasirabad,ajmer,0,good,good
10317,ajmer,General (Woman),good,kekri,rampali,rampali,sarwar,ajmer,0,good,good
10391,ajmer,General,good,kishangarh,roopangarh,roopangarh,roopangarh,ajmer,0,good,good
10393,ajmer,General,bad,nawa,roopnagar,roopnagar,beawar,ajmer,0,good,good
10459,ajmer,OBC,bad,nagaur,samproda,samproda,nasirabad,ajmer,0,good,good
10480,ajmer,General (Woman),bad,nagaur,sanod,sanod,nasirabad,ajmer,0,good,good
10501,ajmer,General (Woman),bad,nawa,sarmaliya,sarmaliya,beawar,ajmer,0,good,good
8204,ajmer,General (Woman),bad,nawa,barakhed,barakhan,tatgarh,ajmer,0.166666667,bad,bad
