new_subdistrict,reservation_2020,District_Name_LGD,Subdistrict_Name_LGD,gp_LGD_name,gp_election_name,reservation_2015,district_2015,subdistrict_2015,dist_2015,quality_check_2015,reservation_2010,subdistrict_2010,dist_2010,quality_check_2010,reservation_2005,district_2005,subdistrict_2005,dist_2005,quality_check_2005,id,S.No.,District Code,District Name,District Census 2011 Code,District Census 2001 Code,Subdistrict Code,Subdistrict Name,Subdistrict Census 2011 Code,Subdistrict Census 2001 Code,Village Code,Village Name,Village Census 2011 Code,Village Census 2001 Code,Local Body Code,Local Body Name,gp_id,verified_or_not,delim_2019,delim_2014
ajmer,GEN_W,ajmer,ajmer,ajaysar,ajyasar,OBC_W,ajmer,srinagar,0.047619048,good,GEN,srinagar,0.047619048,good,GEN,ajmer,srinagar,0.047619048,good,ajmer_ajmer_ajaysar,1,86,AJMER,119,21,607,Ajmer,607,2,91603,Ajaysar,91603,2504800,33826,AJAYSAR,ajmer_ajaysar,NA,0,0
ajmer,GEN_W,ajmer,ajmer,ajaysar,ajyasar,OBC_W,ajmer,srinagar,0.047619048,good,GEN,srinagar,0.047619048,good,GEN,ajmer,srinagar,0.047619048,good,ajmer_ajmer_ajaysar,43,86,AJMER,119,21,607,Ajmer,607,2,91602,Kharekhari,91602,2504700,33826,AJAYSAR,ajmer_ajaysar,NA,0,0
ajmer,GEN,ajmer,ajmer,babayacha,babaycha,GEN_W,ajmer,srinagar,0.099537037,good,GEN,srinagar,0.099537037,good,GEN,ajmer,srinagar,0.099537037,good,ajmer_ajmer_babayacha,6,86,AJMER,119,21,607,Ajmer,607,2,91556,Babayacha,91556,2500200,33828,BABAYACHA,ajmer_babayacha,NA,0,0
ajmer,GEN,ajmer,ajmer,babayacha,babaycha,GEN_W,ajmer,srinagar,0.099537037,good,GEN,srinagar,0.099537037,good,GEN,ajmer,srinagar,0.099537037,good,ajmer_ajmer_babayacha,33,86,AJMER,119,21,607,Ajmer,607,2,91557,Hansiyawas,91557,2500300,33828,BABAYACHA,ajmer_babayacha,NA,0,0
ajmer,GEN,ajmer,ajmer,barliya,badlya,GEN_W,ajmer,srinagar,0,good,GEN,srinagar,0,good,OBC,ajmer,srinagar,0.047619048,good,ajmer_ajmer_barliya,8,86,AJMER,119,21,607,Ajmer,607,2,91642,Badlya (CT),91642,2506700,33829,BARLIYA,ajmer_barliya,NA,0,0
ajmer,GEN_W,ajmer,ajmer,beer,beer,GEN,ajmer,srinagar,0,good,GEN_W,srinagar,0,good,OBC,ajmer,srinagar,0,good,ajmer_ajmer_beer,12,86,AJMER,119,21,607,Ajmer,607,2,91618,Beer,91618,2506900,33830,BEER,ajmer_beer,NA,0,0
ajmer,GEN_W,ajmer,ajmer,beer,beer,GEN,ajmer,srinagar,0,good,GEN_W,srinagar,0,good,OBC,ajmer,srinagar,0,good,ajmer_ajmer_beer,31,86,AJMER,119,21,607,Ajmer,607,2,91617,Gudli,91617,2506800,33830,BEER,ajmer_beer,NA,0,0
ajmer,GEN_W,ajmer,ajmer,bhoodol,bhudol,GEN_W,ajmer,srinagar,0,good,GEN,srinagar,0,good,SC_W,ajmer,srinagar,0,good,ajmer_ajmer_bhoodol,15,86,AJMER,119,21,607,Ajmer,607,2,91580,Bhoodol,91580,2502500,33831,BHOODOL,ajmer_bhoodol,NA,0,0
ajmer,GEN_W,ajmer,ajmer,bhoodol,bhudol,GEN_W,ajmer,srinagar,0,good,GEN,srinagar,0,good,SC_W,ajmer,srinagar,0,good,ajmer_ajmer_bhoodol,46,86,AJMER,119,21,607,Ajmer,607,2,91581,Ladpura,91581,2502600,33831,BHOODOL,ajmer_bhoodol,NA,0,0
ajmer,SC_W,ajmer,ajmer,bubani,bubani,GEN_W,ajmer,srinagar,0,good,OBC,srinagar,0,good,GEN_W,ajmer,srinagar,0,good,ajmer_ajmer_bubani,17,86,AJMER,119,21,607,Ajmer,607,2,91575,Bubani,91575,2502000,33832,BUBANI,ajmer_bubani,NA,0,0
ajmer,SC_W,ajmer,ajmer,bubani,bubani,GEN_W,ajmer,srinagar,0,good,OBC,srinagar,0,good,GEN_W,ajmer,srinagar,0,good,ajmer_ajmer_bubani,44,86,AJMER,119,21,607,Ajmer,607,2,91576,Khonda,91576,2502100,33832,BUBANI,ajmer_bubani,NA,0,0
ajmer,SC_W,ajmer,ajmer,bubani,bubani,GEN_W,ajmer,srinagar,0,good,OBC,srinagar,0,good,GEN_W,ajmer,srinagar,0,good,ajmer_ajmer_bubani,54,86,AJMER,119,21,607,Ajmer,607,2,91574,Muhami (Mohami),91574,2501900,33832,BUBANI,ajmer_bubani,NA,0,0
ajmer,GEN_W,ajmer,ajmer,chachiyawas,chachiyawas,GEN,ajmer,srinagar,0,good,GEN_W,srinagar,0,good,OBC,ajmer,srinagar,0,good,ajmer_ajmer_chachiyawas,18,86,AJMER,119,21,607,Ajmer,607,2,91585,Chachiyawas,91585,2503100,33833,CHACHIYAWAS,ajmer_chachiyawas,NA,0,0
ajmer,GEN_W,ajmer,ajmer,chachiyawas,chachiyawas,GEN,ajmer,srinagar,0,good,GEN_W,srinagar,0,good,OBC,ajmer,srinagar,0,good,ajmer_ajmer_chachiyawas,60,86,AJMER,119,21,607,Ajmer,607,2,91586,Padampura,91586,2503200,33833,CHACHIYAWAS,ajmer_chachiyawas,NA,0,0
